Page Name,Tags,Child,Parent,Column,Last edited by,Problems
EMI,physics,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20conducting%20wire%20of%20parabolic%20shape,%20initially%20y=%207a79f0c4003140cf8d95b60ea48bb24c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Some%20easy%20EMI%20questions%202397dc1e88fc4cad8627975e358224bf.md",,"Oct 12, 2020 7:08 PM",Soutrik das,
Force on a Current carrying rod in a Magnetic Field,,,,"Aug 29, 2020 2:19 PM",Soutrik das,
Thermodynamic v/s Kinematic Control (Reaction Coordinate Diagram),chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Thermodynamics%209da00a94568c4336811d10e519fc1adc.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md","Oct 9, 2020 8:40 PM",Soutrik das,
Intermediate v/s Transition State,chemistry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md,"Aug 22, 2020 1:31 PM",Soutrik das,
"Hammond's Postulate ",chemistry,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Thermodynamics%209da00a94568c4336811d10e519fc1adc.md","Oct 9, 2020 9:16 PM",Soutrik das,
"RDS-Rate Determining Step ",chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Determining%20the%20Activation%20Energy%20of%20Complex%20React%2075b4103b952f4cd8992d1dc48cec1faf.md,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Complex%20or%20Multi-Step%20Reaction%203b729440cad14399b0f6630385080588.md","Aug 22, 2020 6:24 PM",Soutrik das,
"Reaction Coordinate ",chemistry,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Intermediate%20v%20s%20Transition%20State%201393c38934a44043b5d38e701918b3e0.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Hammond's%20Postulate%20af25b91f7adb4392bbf7f457fba353dc.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Thermodynamics%209da00a94568c4336811d10e519fc1adc.md","Oct 9, 2020 9:15 PM",Soutrik das,
Degrees of Freedom,"chemistry, physics",,,"Aug 22, 2020 8:01 AM",Soutrik das,
Determining the Activation Energy of Complex Reactions,chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Writing%20Rate%20Law%20of%20Complex%20Reactions%20v%20s%20Simple%20R%202924505dd0f14129ad2e13c23aa928bc.md,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md,"Aug 24, 2020 9:46 PM",Soutrik das,
"Writing Rate Law of Complex Reactions v/s Simple Reactions ",chemistry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Determining%20the%20Activation%20Energy%20of%20Complex%20React%2075b4103b952f4cd8992d1dc48cec1faf.md,"Aug 27, 2020 1:59 PM",Soutrik das,
Chemical Kinetics vid 11,chemistry,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Molecularity%2071a39fafb49849cea45265856083e9c4.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Elementary%20or%20Single%20Step%20Reaction%201b51c9f540e4451982752ea00c75375c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Complex%20or%20Multi-Step%20Reaction%203b729440cad14399b0f6630385080588.md",,"Aug 24, 2020 9:46 PM",Soutrik das,
