Page Name,Child,Column,Last edited by,Parent,Tags,Problems
"Adding Hydrogen : Hydrogenation [irr,syn]",,"Oct 10, 2020 7:00 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",,
EMI,"../A%20conducting%20wire%20of%20parabolic%20shape,%20initially%20y=%207a79f0c4003140cf8d95b60ea48bb24c.md, ../Some%20easy%20EMI%20questions%202397dc1e88fc4cad8627975e358224bf.md","Oct 12, 2020 7:08 PM",Soutrik das,,physics,
Force on a Current carrying rod in a Magnetic Field,,"Aug 29, 2020 2:19 PM",Soutrik das,,,
Thermodynamic v/s Kinematic Control (Reaction Coordinate Diagram),../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md,"Oct 9, 2020 8:40 PM",Soutrik das,"../Thermodynamics%209da00a94568c4336811d10e519fc1adc.md, ../Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md",chemistry,
Intermediate v/s Transition State,,"Aug 22, 2020 1:31 PM",Soutrik das,../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md,chemistry,
"Hammond's Postulate ",,"Oct 9, 2020 9:16 PM",Soutrik das,"../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, ../Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md, ../Thermodynamics%209da00a94568c4336811d10e519fc1adc.md",chemistry,
"RDS-Rate Determining Step ",../Determining%20the%20Activation%20Energy%20of%20Complex%20React%2075b4103b952f4cd8992d1dc48cec1faf.md,"Aug 22, 2020 6:24 PM",Soutrik das,"../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, ../Complex%20or%20Multi-Step%20Reaction%203b729440cad14399b0f6630385080588.md",chemistry,
"Reaction Coordinate ","../RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md, ../Intermediate%20v%20s%20Transition%20State%201393c38934a44043b5d38e701918b3e0.md, ../Hammond's%20Postulate%20af25b91f7adb4392bbf7f457fba353dc.md, ../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md","Oct 9, 2020 9:15 PM",Soutrik das,"../Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md, ../Thermodynamics%209da00a94568c4336811d10e519fc1adc.md",chemistry,
Degrees of Freedom,,"Aug 22, 2020 8:01 AM",Soutrik das,,"chemistry, physics",
"Writing Rate Law of Complex Reactions v/s Simple Reactions ",,"Aug 27, 2020 1:59 PM",Soutrik das,../Determining%20the%20Activation%20Energy%20of%20Complex%20React%2075b4103b952f4cd8992d1dc48cec1faf.md,chemistry,
Determining the Activation Energy of Complex Reactions,../Writing%20Rate%20Law%20of%20Complex%20Reactions%20v%20s%20Simple%20R%202924505dd0f14129ad2e13c23aa928bc.md,"Aug 24, 2020 9:46 PM",Soutrik das,../RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md,chemistry,
Chemical Kinetics vid 11,"../Molecularity%2071a39fafb49849cea45265856083e9c4.md, ../Elementary%20or%20Single%20Step%20Reaction%201b51c9f540e4451982752ea00c75375c.md, ../Complex%20or%20Multi-Step%20Reaction%203b729440cad14399b0f6630385080588.md","Aug 24, 2020 9:46 PM",Soutrik das,,chemistry,
Molecularity,"../Elementary%20or%20Single%20Step%20Reaction%201b51c9f540e4451982752ea00c75375c.md, ../Order%20(Chemistry)%200e3bfebe8b74420ebd803c8e10b1206f.md","Aug 26, 2020 9:09 AM",Sachin Sadhwani,../Chemical%20Kinetics%20vid%2011%2053cd7ab7366d434a9d24500cdab1107a.md,chemistry,
